meter,total_consumption,avg_consumption,std_dev,peak,missing_pct,segment,volatility
MAC001396,659.0350000000001,0.03761615296803653,0.06821604105103317,1.122,0.0,Residential,1.7665157144860373
MAC001397,3646.2649997000003,0.20816767525119892,0.19999744078916917,2.5220001,0.0228310502283105,Commercial,0.9561584530161422
MAC001398,3641.5350008,0.22122197927221918,0.23923639428222293,3.539,6.044520547945206,Commercial,1.076564951251565
MAC001399,2879.3309999000003,0.164354757685941,0.14103055528096614,2.737,0.005707762557077625,Commercial,0.8528968700666363
MAC001400,3860.8189997000004,0.22037895996917634,0.2166239324543925,1.773,0.005707762557077625,Commercial,0.9785208697545336
MAC001401,3084.5879994999996,0.17609111146315007,0.23907126805533918,2.066,0.017123287671232876,Commercial,1.3499902173525307
MAC001406,2922.6010003,0.16681512558789954,0.1066059855907117,1.1670001,0.0,Commercial,0.6352585037686175
MAC001408,4194.694998,0.23942323047945205,0.2607401020214986,3.03,0.0,Industrial,1.0845046108960879
MAC001409,2578.1030001000004,0.14839711046451393,0.14906203120350725,1.77,0.839041095890411,Commercial,0.9977571235483416
MAC001411,4115.3719996,0.2349090701295736,0.2159587185272144,3.253,0.005707762557077625,Industrial,0.915432028147958
MAC001412,3083.7459998000004,0.1760128995319635,0.17247268983453073,1.8049999,0.0,Commercial,0.9743509670230958
MAC001415,3236.2879999,0.1847196346974886,0.17917987088068787,1.6569999,0.0,Commercial,0.964786901355621
MAC001416,4065.2700004999997,0.2320756979220186,0.3042536371491989,5.052,0.017123287671232876,Industrial,1.305385502915
MAC001422,3736.8199997,0.2133375199646038,0.20118927669774225,3.5539999,0.0228310502283105,Commercial,0.9386563618491393
MAC001423,3206.544,0.18304281310651901,0.10802296780735583,1.454,0.01141552511415525,Commercial,0.5869447765115123
MAC001424,973.1129997,0.05554297943493151,0.12334620490574327,2.033,0.0,Residential,2.1814592392975602
MAC001425,6265.7449985,0.3577767942956661,0.335712836492698,3.2449999,0.039954337899543384,Industrial,0.9357150234639724
MAC001426,1373.9209999,0.07842462468748217,0.07384768852325448,1.661,0.005707762557077625,Residential,0.9297832858994088
MAC001428,1414.2670000000003,0.08073221828975913,0.09776426964748677,1.336,0.01141552511415525,Residential,1.1961533859376043
MAC001430,2803.2790007000003,0.1802751768938907,0.24044073690506404,3.2650001,11.244292237442922,Commercial,1.3263853387152167
